,id,name,symbol,is_active
248,1567,Nano,XNO,1
249,1578,Zero,ZER,1
250,1582,Netko,NETKO,1
251,1586,Ark,ARK,1
252,1588,Tokes,TKS,1
253,1596,Edgeless,EDG,1
254,1609,Asch,XAS,1
255,1619,Skycoin,SKY,1
256,1623,BlazerCoin,BLAZR,1
257,1624,Atmos,ATMOS,1
258,1629,Zennies,ZENI,1
259,1630,Coinonat,CXT,1
260,1632,Concoin,CONX,1
261,1636,XTRABYTES,XBY,1
262,1637,iExec RLC,RLC,1
263,1638,WeTrust,TRST,1
264,1651,SpeedCash,SCS,1
265,1654,BitCore,BTX,1
266,1657,Bitvolt,VOLT,1
267,1658,Lunyr,LUN,1
268,1659,Gnosis,GNO,1
269,1660,Monolith,TKN,1
270,1669,Humaniq,HMQ,1
271,1674,Cannation,CNNC,1
272,1678,InsaneCoin,INSN,1
273,1680,Aragon,ANT,1
274,1681,PRIZM,PZM,1
275,1684,Qtum,QTUM,1
276,1693,Theresa May Coin,MAY,1
277,1694,Sumokoin,SUMO,1
278,1697,Basic Attention Token,BAT,1
279,1698,Horizen,ZEN,1
280,1700,Æternity,AE,1
281,1703,Metaverse ETP,ETP,1
282,1704,eBoost,EBST,1
283,1706,Aidos Kuneen,ADK,1
284,1710,Veritaseum,VERI,1
285,1712,Quantum Resistant Ledger,QRL,1
286,1720,IOTA,MIOTA,1
287,1721,Mysterium,MYST,1
288,1722,More Coin,MORE,1
289,1727,Bancor,BNT,1
290,1731,GlobalToken,GLT,1
291,1732,Numeraire,NMR,1
292,1736,Unify,UNIFY,1
293,1745,Dinastycoin,DCY,1
294,1747,Onix,ONX,1
295,1750,GXChain,GXC,1
296,1757,FUNToken,FUN,1
297,1758,TenX,PAY,1
298,1759,Status,SNT,1
299,1762,Ergo,ERG,1
300,1765,EOS,EOS,1
301,1768,Ambire AdEx,ADX,1
302,1769,Denarius,D,1
303,1772,Storj,STORJ,1
304,1774,SocialCoin,SOCC,1
305,1779,Wagerr,WGR,1
306,1784,Polybius,PLBT,1
307,1785,Gas,GAS,1
308,1786,SunContract,SNC,1
309,1787,Jetcoin,JET,1
310,1788,Metal DAO,MTL,1
311,1789,Populous,PPT,1
312,1799,Rupee,RUP,1
313,1807,Santiment Network Token,SAN,1
314,1808,OMG Network,OMG,1
315,1814,Metrix Coin,MRX,1
316,1816,Civic,CVC,1
317,1817,Voyager Token,VGX,1
318,1824,BitCoal,COAL,1
319,1826,Particl,PART,1
320,1828,SmartCash,SMART,1
321,1830,SkinCoin,SKIN,1
322,1831,Bitcoin Cash,BCH,1
323,1834,Pillar,PLR,1
324,1838,OracleChain,OCT,1
325,1839,BNB,BNB,1
326,1845,IXT,IXT,1
327,1846,GeyserCoin,GSR,1
328,1850,Cream,CRM,1
329,1853,OAX,OAX,1
330,1856,district0x,DNT,1
331,1861,Stox,STX,1
332,1866,Bytom,BTM,1
333,1876,Dentacoin,DCN,1
334,1878,Shadow Token,SHDW,1
335,1881,DeepOnion,ONION,1
336,1883,Adshares,ADS,1
337,1886,Dent,DENT,1
338,1888,InvestFeed,IFT,1
339,1896,0x,ZRX,1
340,1899,YOYOW,YOYOW,1
341,1902,MyBit,MYB,1
342,1903,HyperCash,HC,1
343,1908,Nebulas,NAS,1
344,1916,BiblePay,BBP,1
345,1918,Achain,ACT,1
346,1925,Waltonchain,WTC,1
347,1930,Primas,PST,1
348,1934,Loopring,LRC,1
349,1935,LiteCoin Ultra,LTCU,1
350,1937,Po.et,POE,1
351,1947,Monetha,MTH,1
352,1948,Aventus,AVT,1
353,1949,Agrello,DLT,1
354,1950,Hiveterminal Token,HVN,1
355,1954,Moeda Loyalty Points,MDA,1
356,1955,Neblio,NEBL,1
357,1958,TRON,TRX,1
358,1962,BUZZCoin,BUZZ,1
359,1966,Decentraland,MANA,1
360,1967,Indorse Token,IND,1
361,1968,XPA,XPA,1
362,1970,ATBCoin,ATB,1
363,1974,Propy,PRO,1
364,1975,Chainlink,LINK,1
365,1982,Kyber Network Crystal Legacy,KNCL,1
366,1983,VIBE,VIBE,1
367,1984,Substratum,SUB,1
368,1991,Rivetz,RVT,1
369,1993,Kin,KIN,1
370,1996,SALT,SALT,1
371,1998,Ormeus Coin,ORMEUS,1
372,2001,ColossusXT,COLX,1
373,2002,TrezarCoin,TZC,1
374,2006,Cobinhood,COB,1
375,2009,Bismuth,BIS,1
376,2010,Cardano,ADA,1
377,2011,Tezos,XTZ,1
378,2019,Viberate,VIB,1
379,2021,RChain,REV,1
380,2022,Internxt,INXT,1
381,2034,Everex,EVX,1
382,2041,BitcoinZ,BTCZ,1
383,2043,Cindicator,CND,1
384,2044,Enigma,ENG,1
385,2047,Zeusshield,ZSC,1
386,2058,AirSwap,AST,1
387,2061,Blockmason Credit Protocol,BCPT,1
388,2062,Aion,AION,1
389,2064,Maecenas,ART,1
390,2070,DomRaider,DRT,1
391,2071,Request,REQ,1
392,2076,Blue Protocol,BLUE,1
393,2081,AirDAO,AMB,1
394,2083,Bitcoin Gold,BTG,1
395,2087,KuCoin Token,KCS,1
396,2088,EXRNchain,EXRN,1
397,2090,LATOKEN,LA,1
398,2091,Exchange Union,XUC,1
399,2092,NULS,NULS,1
400,2096,Ripio Credit Network,RCN,1
401,2099,ICON,ICX,1
402,2100,JavaScript Token,JS,1
403,2104,iEthereum,IETH,1
404,2107,LUXCoin,LUX,1
405,2110,Dovu,DOV,1
406,2112,Phoenix Global [old],PHX,1
407,2120,Etherparty,FUEL,1
408,2126,FlypMe,FYP,1
409,2130,Enjin Coin,ENJ,1
410,2131,iBTC,IBTC,1
411,2132,Powerledger,POWR,1
412,2134,Grid+,GRID,1
413,2135,Revain,REV,1
414,2136,ATLANT,ATL,1
415,2137,Electroneum,ETN,1
416,2143,Streamr,DATA,1
417,2147,ELTCOIN,ELTCOIN,1
418,2148,Desire,DSR,1
419,2151,Autonio,NIOX,1
420,2153,Aeron,ARNX,1
421,2158,Phore,PHR,1
422,2160,Innova,INN,1
423,2161,Raiden Network Token,RDN,1
424,2162,Delphy,DPY,1
425,2165,ERC20,ERC20,1
426,2175,DecentBet,DBET,1
427,2178,Upfiring,UFR,1
428,2181,Genesis Vision,GVT,1
429,2184,Privatix,PRIX,1
430,2185,Lethean,LTHN,1
431,2191,Paypex,PAYX,1
432,2200,GoByte,GBX,1
433,2205,Phantomx,PNX,1
434,2208,EncrypGen,DNA,1
435,2209,Ink,INK,1
436,2212,Quantstamp,QSP,1
437,2213,QASH,QASH,1
438,2215,Energo,TSL,1
439,2219,SpankChain,SPANK,1
440,2222,Bitcoin Diamond,BCD,1
441,2223,BLOCKv,VEE,1
442,2230,MONK,MONK,1
443,2231,Flixxo,FLIXX,1
444,2235,Time New Bank,TNB,1
445,2236,MyWish,WISH,1
446,2237,EventChain,EVC,1
447,2240,SoMee.Social [OLD],ONG,1
448,2241,Ccore,CCO,1
449,2242,Qbao,QBT,1
450,2243,Dragonchain,DRGN,1
451,2245,Presearch,PRE,1
452,2246,CyberMiles,CMT,1
453,2247,BlockCDN,BCDN,1
454,2248,Cappasity,CAPP,1
455,2249,Eroscoin,ERO,1
456,2255,Social Send,SEND,1
457,2256,Bonpay,BON,1
458,2260,Datamine,DAM,1
459,2267,Wabi,WABI,1
460,2273,Uquid Coin,UQC,1
461,2274,MediShares,MDS,1
462,2276,Ignis,IGNIS,1
463,2277,SmartMesh,SMT,1
464,2279,Playkey,PKT,1
465,2280,Filecoin,FIL,1
466,2281,BitcoinX,BCX,1
467,2282,Super Bitcoin,SBTC,1
468,2286,MicroMoney,AMM,1
469,2287,LockTrip,LOC,1
470,2288,Worldcore,WRC,1
471,2289,Gifto,GTO,1
472,2290,YENTEN,YTN,1
473,2291,Genaro Network,GNX,1
474,2293,United Bitcoin,UBTC,1
475,2295,Starbase,STAR,1
476,2296,OST,OST,1
477,2297,StormX,STMX,1
478,2299,aelf,ELF,1
479,2300,WAX,WAXP,1
480,2303,MediBloc,MED,1
481,2305,NAGA,NGC,1
482,2306,Bread,BRD,1
483,2307,Bibox Token,BIX,1
484,2310,Bounty0x,BNTY,1
485,2313,SIRIN LABS Token,SRN,1
486,2315,HTMLCOIN,HTML,1
487,2316,DeepBrain Chain,DBC,1
488,2318,Neumark,NEU,1
489,2320,Utrust,UTK,1
490,2321,Kepple,QLC,1
491,2323,HEROcoin,PLAY,1
492,2324,BigONE Token,ONE,1
493,2329,Hyper Pay,HPY,1
494,2332,STRAKS,STAK,1
495,2335,Lightning Bitcoin,LBTC,1
496,2336,Game.com,GTC,1
497,2337,Lamden,TAU,1
498,2340,Bloom,BLT,1
499,2341,SwftCoin,SWFTC,1
500,2342,Covesting,COV,1
501,2343,CanYaCoin,CAN,1
502,2344,AppCoins,APPC,1
503,2345,High Performance Blockchain,HPB,1
504,2346,WaykiChain,WICC,1
505,2348,Measurable Data Token,MDT,1
506,2349,Mixin,XIN,1
507,2354,GET Protocol,GET,1
508,2359,Polis,POLIS,1
509,2363,Zap,ZAP,1
510,2364,TokenClub,TCT,1
511,2366,FairGame,FAIR,1
512,2367,Aigang,AIX,1
513,2370,Bitcoin God,GOD,1
514,2371,United Traders Token,UTT,1
515,2376,TopChain,TOPC,1
516,2379,Kcash,KCASH,1
517,2386,KZ Cash,KZC,1
518,2387,Bitcoin Atom,BCA,1
519,2391,EchoLink,EKO,1
520,2392,Bottos,BTO,1
521,2394,Telcoin,TEL,1
522,2395,Ignition,IC,1
523,2396,WETH,WETH,1
524,2398,SelfKey,KEY,1
525,2399,INT,INT,1
526,2400,OneRoot Network,RNT,1
527,2405,IOST,IOST,1
528,2407,AICHAIN,AIT,1
529,2410,SpaceChain,SPC,1
530,2415,ArbitrageCT,ARCT,1
531,2416,Theta Network,THETA,1
532,2419,Profile Utility Token,PUT,1
533,2421,VouchForMe,IPL,1
534,2424,SingularityNET,AGIX,1
535,2427,ChatCoin,CHAT,1
536,2428,Scry.info,DDD,1
537,2429,Mobius,MOBI,1
